
Tiempo	Valor integrado
     0.00000	     0.00000
     0.00628	     0.00004
     0.01257	     0.00011
     0.01885	     0.00023
     0.02513	     0.00038
     0.03142	     0.00058
     0.03770	     0.00081
     0.04398	     0.00108
     0.05027	     0.00139
     0.05655	     0.00175
     0.06283	     0.00214
     0.06912	     0.00257
     0.07540	     0.00304
     0.08168	     0.00355
     0.08796	     0.00410
     0.09425	     0.00469
     0.10053	     0.00532
     0.10681	     0.00598
     0.11310	     0.00669
     0.11938	     0.00743
     0.12566	     0.00822
     0.13195	     0.00904
     0.13823	     0.00990
     0.14451	     0.01081
     0.15080	     0.01175
     0.15708	     0.01273
     0.16336	     0.01375
     0.16965	     0.01480
     0.17593	     0.01590
     0.18221	     0.01704
     0.18850	     0.01821
     0.19478	     0.01943
     0.20106	     0.02068
     0.20735	     0.02197
     0.21363	     0.02330
     0.21991	     0.02467
     0.22620	     0.02608
     0.23248	     0.02752
     0.23876	     0.02900
     0.24504	     0.03052
     0.25133	     0.03208
     0.25761	     0.03368
     0.26389	     0.03531
     0.27018	     0.03698
     0.27646	     0.03869
     0.28274	     0.04044
     0.28903	     0.04223
     0.29531	     0.04406
     0.30159	     0.04592
     0.30788	     0.04783
     0.31416	     0.04977
     0.32044	     0.05174
     0.32673	     0.05375
     0.33301	     0.05580
     0.33929	     0.05789
     0.34558	     0.06001
     0.35186	     0.06217
     0.35814	     0.06437
     0.36443	     0.06661
     0.37071	     0.06888
     0.37699	     0.07119
     0.38328	     0.07354
     0.38956	     0.07592
     0.39584	     0.07834
     0.40212	     0.08080
     0.40841	     0.08329
     0.41469	     0.08582
     0.42097	     0.08838
     0.42726	     0.09098
     0.43354	     0.09362
     0.43982	     0.09629
     0.44611	     0.09900
     0.45239	     0.10174
     0.45867	     0.10452
     0.46496	     0.10734
     0.47124	     0.11018
     0.47752	     0.11307
     0.48381	     0.11599
     0.49009	     0.11894
     0.49637	     0.12193
     0.50266	     0.12495
     0.50894	     0.12801
     0.51522	     0.13111
     0.52151	     0.13423
     0.52779	     0.13739
     0.53407	     0.14059
     0.54036	     0.14382
     0.54664	     0.14708
     0.55292	     0.15038
     0.55920	     0.15371
     0.56549	     0.15707
     0.57177	     0.16047
     0.57805	     0.16390
     0.58434	     0.16737
     0.59062	     0.17086
     0.59690	     0.17439
     0.60319	     0.17795
     0.60947	     0.18155
     0.61575	     0.18517
     0.62204	     0.18883
     0.62832	     0.19252
     0.63460	     0.19624
     0.64089	     0.19999
     0.64717	     0.20377
     0.65345	     0.20758
     0.65974	     0.21143
     0.66602	     0.21531
     0.67230	     0.21921
     0.67859	     0.22315
     0.68487	     0.22713
     0.69115	     0.23113
     0.69744	     0.23516
     0.70372	     0.23923
     0.71000	     0.24332
     0.71628	     0.24744
     0.72257	     0.25159
     0.72885	     0.25578
     0.73513	     0.25999
     0.74142	     0.26423
     0.74770	     0.26849
     0.75398	     0.27279
     0.76027	     0.27712
     0.76655	     0.28147
     0.77283	     0.28586
     0.77912	     0.29027
     0.78540	     0.29471
     0.79168	     0.29918
     0.79797	     0.30367
     0.80425	     0.30820
     0.81053	     0.31275
     0.81682	     0.31732
     0.82310	     0.32193
     0.82938	     0.32656
     0.83567	     0.33121
     0.84195	     0.33589
     0.84823	     0.34061
     0.85452	     0.34534
     0.86080	     0.35011
     0.86708	     0.35489
     0.87336	     0.35971
     0.87965	     0.36454
     0.88593	     0.36941
     0.89221	     0.37430
     0.89850	     0.37921
     0.90478	     0.38415
     0.91106	     0.38911
     0.91735	     0.39409
     0.92363	     0.39910
     0.92991	     0.40414
     0.93620	     0.40919
     0.94248	     0.41428
     0.94876	     0.41938
     0.95505	     0.42451
     0.96133	     0.42965
     0.96761	     0.43482
     0.97390	     0.44002
     0.98018	     0.44523
     0.98646	     0.45047
     0.99275	     0.45573
     0.99903	     0.46101
     1.00531	     0.46631
     1.01160	     0.47164
     1.01788	     0.47698
     1.02416	     0.48234
     1.03044	     0.48773
     1.03673	     0.49313
     1.04301	     0.49855
     1.04929	     0.50400
     1.05558	     0.50947
     1.06186	     0.51495
     1.06814	     0.52046
     1.07443	     0.52598
     1.08071	     0.53152
     1.08699	     0.53708
     1.09328	     0.54266
     1.09956	     0.54826
     1.10584	     0.55387
     1.11213	     0.55950
     1.11841	     0.56515
     1.12469	     0.57082
     1.13098	     0.57650
     1.13726	     0.58220
     1.14354	     0.58791
     1.14983	     0.59364
     1.15611	     0.59939
     1.16239	     0.60515
     1.16868	     0.61093
     1.17496	     0.61673
     1.18124	     0.62254
     1.18752	     0.62836
     1.19381	     0.63420
     1.20009	     0.64006
     1.20637	     0.64593
     1.21266	     0.65181
     1.21894	     0.65770
     1.22522	     0.66361
     1.23151	     0.66953
     1.23779	     0.67546
     1.24407	     0.68141
     1.25036	     0.68738
     1.25664	     0.69335
     1.26292	     0.69933
     1.26921	     0.70533
     1.27549	     0.71133
     1.28177	     0.71735
     1.28806	     0.72338
     1.29434	     0.72943
     1.30062	     0.73548
     1.30691	     0.74154
     1.31319	     0.74762
     1.31947	     0.75370
     1.32576	     0.75980
     1.33204	     0.76590
     1.33832	     0.77201
     1.34460	     0.77813
     1.35089	     0.78426
     1.35717	     0.79040
     1.36345	     0.79654
     1.36974	     0.80269
     1.37602	     0.80886
     1.38230	     0.81503
     1.38859	     0.82120
     1.39487	     0.82738
     1.40115	     0.83357
     1.40744	     0.83977
     1.41372	     0.84597
     1.42000	     0.85218
     1.42629	     0.85839
     1.43257	     0.86461
     1.43885	     0.87084
     1.44514	     0.87707
     1.45770	     0.88955
     1.46399	     0.89580
     1.47655	     0.90830
     1.48284	     0.91456
     1.49540	     0.92709
     1.50797	     0.93963
     1.52682	     0.95846
     1.57080	     1.00244
     1.57708	     1.00872
     1.62107	     1.05261
     1.63992	     1.07140
     1.65248	     1.08392
     1.66505	     1.09642
     1.67133	     1.10267
     1.68390	     1.11515
     1.69018	     1.12138
     1.70275	     1.13383
     1.70903	     1.14006
     1.71531	     1.14627
     1.72160	     1.15248
     1.72788	     1.15868
     1.73416	     1.16487
     1.74045	     1.17106
     1.74673	     1.17725
     1.75301	     1.18342
     1.75930	     1.18959
     1.76558	     1.19576
     1.77186	     1.20191
     1.77815	     1.20805
     1.78443	     1.21419
     1.79071	     1.22032
     1.79700	     1.22644
     1.80328	     1.23255
     1.80956	     1.23865
     1.81584	     1.24475
     1.82213	     1.25083
     1.82841	     1.25690
     1.83469	     1.26297
     1.84098	     1.26902
     1.84726	     1.27506
     1.85354	     1.28109
     1.85983	     1.28711
     1.86611	     1.29312
     1.87239	     1.29911
     1.87868	     1.30510
     1.88496	     1.31107
     1.89124	     1.31703
     1.89753	     1.32298
     1.90381	     1.32892
