
Funcion   : f(x) = sin(x)
Intervalo : [000,6.28]
Cantidad de valores evaluados: 1e+03
Incremento: 0.00628
Frecuencia de evaluación : 1 valor/0.001seg

     x			f(x)
     0.00000	     0.00000
     0.00628	     0.00628
     0.01257	     0.01257
     0.01885	     0.01885
     0.02513	     0.02513
     0.03142	     0.03141
     0.03770	     0.03769
     0.04398	     0.04397
     0.05027	     0.05024
     0.05655	     0.05652
     0.06283	     0.06279
     0.06912	     0.06906
     0.07540	     0.07533
     0.08168	     0.08159
     0.08796	     0.08785
     0.09425	     0.09411
     0.10053	     0.10036
     0.10681	     0.10661
     0.11310	     0.11286
     0.11938	     0.11910
     0.12566	     0.12533
     0.13195	     0.13156
     0.13823	     0.13779
     0.14451	     0.14401
     0.15080	     0.15023
     0.15708	     0.15643
     0.16336	     0.16264
     0.16965	     0.16883
     0.17593	     0.17502
     0.18221	     0.18121
     0.18850	     0.18738
     0.19478	     0.19355
     0.20106	     0.19971
     0.20735	     0.20586
     0.21363	     0.21201
     0.21991	     0.21814
     0.22620	     0.22427
     0.23248	     0.23039
     0.23876	     0.23650
     0.24504	     0.24260
     0.25133	     0.24869
     0.25761	     0.25477
     0.26389	     0.26084
     0.27018	     0.26690
     0.27646	     0.27295
     0.28274	     0.27899
     0.28903	     0.28502
     0.29531	     0.29104
     0.30159	     0.29704
     0.30788	     0.30304
     0.31416	     0.30902
     0.32044	     0.31499
     0.32673	     0.32094
     0.33301	     0.32689
     0.33929	     0.33282
     0.34558	     0.33874
     0.35186	     0.34464
     0.35814	     0.35054
     0.36443	     0.35641
     0.37071	     0.36228
     0.37699	     0.36813
     0.38328	     0.37396
     0.38956	     0.37978
     0.39584	     0.38558
     0.40212	     0.39137
     0.40841	     0.39715
     0.41469	     0.40291
     0.42097	     0.40865
     0.42726	     0.41438
     0.43354	     0.42009
     0.43982	     0.42578
     0.44611	     0.43146
     0.45239	     0.43712
     0.45867	     0.44276
     0.46496	     0.44838
     0.47124	     0.45399
     0.47752	     0.45958
     0.48381	     0.46515
     0.49009	     0.47070
     0.49637	     0.47624
     0.50266	     0.48175
     0.50894	     0.48725
     0.51522	     0.49273
     0.52151	     0.49819
     0.52779	     0.50362
     0.53407	     0.50904
     0.54036	     0.51444
     0.54664	     0.51982
     0.55292	     0.52518
     0.55920	     0.53051
     0.56549	     0.53583
     0.57177	     0.54112
     0.57805	     0.54640
     0.58434	     0.55165
     0.59062	     0.55688
     0.59690	     0.56208
     0.60319	     0.56727
     0.60947	     0.57243
     0.61575	     0.57757
     0.62204	     0.58269
     0.62832	     0.58779
     0.63460	     0.59286
     0.64089	     0.59791
     0.64717	     0.60293
     0.65345	     0.60793
     0.65974	     0.61291
     0.66602	     0.61786
     0.67230	     0.62279
     0.67859	     0.62769
     0.68487	     0.63257
     0.69115	     0.63743
     0.69744	     0.64225
     0.70372	     0.64706
     0.71000	     0.65183
     0.71628	     0.65659
     0.72257	     0.66131
     0.72885	     0.66601
     0.73513	     0.67069
     0.74142	     0.67533
     0.74770	     0.67995
     0.75398	     0.68455
     0.76027	     0.68912
     0.76655	     0.69365
     0.77283	     0.69817
     0.77912	     0.70265
     0.78540	     0.70711
     0.79168	     0.71154
     0.79797	     0.71594
     0.80425	     0.72031
     0.81053	     0.72465
     0.81682	     0.72897
     0.82310	     0.73326
     0.82938	     0.73751
     0.83567	     0.74174
     0.84195	     0.74594
     0.84823	     0.75011
     0.85452	     0.75425
     0.86080	     0.75836
