
Valor Original	Valor emitido
     0.00000	     0.00000
     0.00628	     0.00600
     0.01257	     0.01200
     0.01885	     0.01800
     0.02513	     0.02500
     0.03141	     0.03100
     0.03769	     0.03700
     0.04397	     0.04300
     0.05024	     0.05000
     0.05652	     0.05600
     0.06279	     0.06200
     0.06906	     0.06900
     0.07533	     0.07500
     0.08159	     0.08100
     0.08785	     0.08700
     0.09411	     0.09400
     0.10036	     0.10000
     0.10661	     0.10600
     0.11286	     0.11200
     0.11910	     0.11900
     0.12533	     0.12500
     0.13156	     0.13100
     0.13779	     0.13700
     0.14401	     0.14400
     0.15023	     0.15000
     0.15643	     0.15600
     0.16264	     0.16200
     0.16883	     0.16800
     0.17502	     0.17500
     0.18121	     0.18100
     0.18738	     0.18700
     0.19355	     0.19300
     0.19971	     0.19900
     0.20586	     0.20500
     0.21201	     0.21200
     0.21814	     0.21800
     0.22427	     0.22400
     0.23039	     0.23000
     0.23650	     0.23600
     0.24260	     0.24200
     0.24869	     0.24800
     0.25477	     0.25400
     0.26084	     0.26000
     0.26690	     0.26600
     0.27295	     0.27200
     0.27899	     0.27800
     0.28502	     0.28500
     0.29104	     0.29100
     0.29704	     0.29700
     0.30304	     0.30300
     0.30902	     0.30900
     0.31499	     0.31400
     0.32094	     0.32000
     0.32689	     0.32600
     0.33282	     0.33200
     0.33874	     0.33800
     0.34464	     0.34400
     0.35054	     0.35000
     0.35641	     0.35600
     0.36228	     0.36200
     0.36813	     0.36800
     0.37396	     0.37300
     0.37978	     0.37900
     0.38558	     0.38500
     0.39137	     0.39100
     0.39715	     0.39700
     0.40291	     0.40200
     0.40865	     0.40800
     0.41438	     0.41400
     0.42009	     0.42000
     0.42578	     0.42500
     0.43146	     0.43100
     0.43712	     0.43700
     0.44276	     0.44200
     0.44838	     0.44800
     0.45399	     0.45300
     0.45958	     0.45900
     0.46515	     0.46500
     0.47070	     0.47000
     0.47624	     0.47600
     0.48175	     0.48100
     0.48725	     0.48700
     0.49273	     0.49200
     0.49819	     0.49800
     0.50362	     0.50300
     0.50904	     0.50900
     0.51444	     0.51400
     0.51982	     0.51900
     0.52518	     0.52500
     0.53051	     0.53000
     0.53583	     0.53500
     0.54112	     0.54100
     0.54640	     0.54600
     0.55165	     0.55100
     0.55688	     0.55600
     0.56208	     0.56200
     0.56727	     0.56700
     0.57243	     0.57200
     0.57757	     0.57700
     0.58269	     0.58200
     0.58779	     0.58700
     0.59286	     0.59200
     0.59791	     0.59700
     0.60293	     0.60200
     0.60793	     0.60700
     0.61291	     0.61200
     0.61786	     0.61700
     0.62279	     0.62200
     0.62769	     0.62700
     0.63257	     0.63200
     0.63743	     0.63700
     0.64225	     0.64200
     0.64706	     0.64700
     0.65183	     0.65100
     0.65659	     0.65600
     0.66131	     0.66100
     0.66601	     0.66600
     0.67069	     0.67000
     0.67533	     0.67500
     0.67995	     0.67900
     0.68455	     0.68400
     0.68912	     0.68900
     0.69365	     0.69300
     0.69817	     0.69800
     0.70265	     0.70200
     0.70711	     0.70700
     0.71154	     0.71100
     0.71594	     0.71500
     0.72031	     0.72000
     0.72465	     0.72400
     0.72897	     0.72800
     0.73326	     0.73300
     0.73751	     0.73700
     0.74174	     0.74100
     0.74594	     0.74500
     0.75011	     0.75000
     0.75425	     0.75400
     0.75836	     0.75800
     0.76244	     0.76200
     0.76649	     0.76600
     0.77051	     0.77000
     0.77450	     0.77400
     0.77846	     0.77800
     0.78239	     0.78200
     0.78629	     0.78600
     0.79016	     0.79000
     0.79399	     0.79300
     0.79780	     0.79700
     0.80157	     0.80100
     0.80531	     0.80500
     0.80902	     0.80900
     0.81270	     0.81200
     0.81634	     0.81600
     0.81995	     0.81900
     0.82353	     0.82300
     0.82708	     0.82700
     0.83060	     0.83000
     0.83408	     0.83400
     0.83753	     0.83700
     0.84095	     0.84000
     0.84433	     0.84400
     0.84768	     0.84700
     0.85100	     0.85000
     0.85428	     0.85400
     0.85753	     0.85700
     0.86074	     0.86000
     0.86392	     0.86300
     0.86707	     0.86700
     0.87018	     0.87000
     0.87326	     0.87300
     0.87631	     0.87600
     0.87932	     0.87900
     0.88229	     0.88200
     0.88523	     0.88500
     0.88814	     0.88800
     0.89101	     0.89100
     0.89384	     0.89300
     0.89664	     0.89600
     0.89941	     0.89900
     0.90214	     0.90200
     0.90483	     0.90400
     0.90749	     0.90700
     0.91011	     0.91000
     0.91269	     0.91200
     0.91524	     0.91500
     0.91776	     0.91700
     0.92023	     0.92000
     0.92267	     0.92200
     0.92508	     0.92500
     0.92745	     0.92700
     0.92978	     0.92900
     0.93207	     0.93200
     0.93433	     0.93400
     0.93655	     0.93600
     0.93873	     0.93800
     0.94088	     0.94000
     0.94299	     0.94200
     0.94506	     0.94500
     0.94710	     0.94700
     0.94910	     0.94900
